Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Note2,Amount,Currency,Account3
10/03/2023 22:19:51,Dompet,Food & Drink,Drink,,5,Expense,,5,MYR,5
10/03/2023 22:19:51,Dompet,Other,,,10,Expense,,10,MYR,10
10/05/2023 09:31:54,Public Bank,Game,Blue Archive,,14.99,Expense,,14.99,MYR,14.99
10/05/2023 09:32:03,Dompet,Transportation,Bus,,6,Expense,,6,MYR,6
10/06/2023 17:48:53,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
10/06/2023 17:48:53,Dompet,Food & Drink,Drink,,2,Expense,,2,MYR,2
10/07/2023 06:37:46,Dompet,Transportation,Minyak,,10,Expense,,10,MYR,10
10/07/2023 07:35:37,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
10/07/2023 16:38:27,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
10/08/2022 13:04:26,Public Bank,Game,Arknight,MONTHLY PASS,21.99,Expense,,21.99,MYR,21.99
10/08/2023 14:03:33,Public Bank,Allowance,,,100,Income,,100,MYR,100
10/08/2023 20:21:46,Dompet,Food & Drink,Barang Dapur,,17.4,Expense,,17.4,MYR,17.4
10/11/2022 08:21:14,Bank Islam,Other,,,15,Expense,,15,MYR,15
10/11/2022 14:56:21,Public Bank,Transportation,Car,,5,Expense,,5,MYR,5
10/11/2022 17:07:13,Dompet,Food & Drink,Barang Dapur,,2.7,Expense,,2.7,MYR,2.7
10/12/2022 12:39:25,Public Bank,Food & Drink,Breakfast,,107.2,Expense,,107.2,MYR,107.2
10/12/2022 13:12:12,Bank Islam,Dompet,,,100,Transfer-Out,,100,MYR,100
10/12/2022 18:14:46,Dompet,Food & Drink,Dinner,,5,Expense,,5,MYR,5
11/01/2023 11:35:49,Dompet,Food & Drink,Lunch,,5,Expense,,5,MYR,5
11/01/2023 11:35:59,Dompet,Other,,,3,Expense,,3,MYR,3
11/02/2023 12:35:33,Dompet,Food & Drink,Lunch,,10,Expense,,10,MYR,10
11/02/2023 12:35:41,Dompet,Food & Drink,Drink,,1,Expense,,1,MYR,1
11/02/2023 18:02:59,Dompet,Food & Drink,Dinner,,5,Expense,,5,MYR,5
11/02/2023 18:03:04,Dompet,Food & Drink,Drink,,1,Expense,,1,MYR,1
11/03/2023 05:47:39,Bank Islam,Allowance,,,200,Income,,200,MYR,200
11/05/2023 17:38:34,Dompet,Food & Drink,Lunch,,4,Expense,,4,MYR,4
11/07/2023 15:51:12,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
11/11/2022 11:51:35,Dompet,Food & Drink,Lunch,,10,Expense,,10,MYR,10
11/11/2022 13:14:52,Dompet,Food & Drink,Lunch,,14.05,Expense,,14.05,MYR,14.05
11/12/2022 13:37:11,Dompet,Food & Drink,Lunch,,12,Expense,,12,MYR,12
11/12/2022 18:14:33,Dompet,Food & Drink,Dinner,,6,Expense,,6,MYR,6
11/12/2022 18:14:39,Public Bank,Allowance,,,200,Income,,200,MYR,200
12/01/2023 07:12:54,Dompet,Food & Drink,Breakfast,,9.7,Expense,,9.7,MYR,9.7
12/01/2023 17:15:50,Dompet,Food & Drink,Lunch,,8,Expense,,8,MYR,8
12/01/2023 17:41:53,Public Bank,Dompet,,,50,Transfer-Out,,50,MYR,50
12/01/2023 17:42:08,Bank Islam,Dompet,,,50,Transfer-Out,,50,MYR,50
12/01/2023 17:51:20,Dompet,Food & Drink,Dinner,,11,Expense,,11,MYR,11
12/01/2023 17:54:19,Dompet,Food & Drink,Dinner,,4,Expense,,4,MYR,4
12/02/2023 18:28:29,Dompet,Food & Drink,Dinner,,5,Expense,,5,MYR,5
12/02/2023 18:28:38,Dompet,Food & Drink,Drink,,1,Expense,,1,MYR,1
12/05/2023 11:52:28,Dompet,Food & Drink,Lunch,,11,Expense,,11,MYR,11
12/05/2023 12:23:00,Public Bank,Transportation,GrabCar,,11,Expense,,11,MYR,11
12/05/2023 13:38:43,Public Bank,Transportation,GrabCar,,8,Expense,,8,MYR,8
12/06/2023 16:22:07,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
12/06/2023 16:22:07,Dompet,Food & Drink,Lunch,,2,Expense,,2,MYR,2
12/07/2023 15:51:26,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
12/10/2022 13:20:44,Dompet,Food & Drink,,,22.9,Expense,,22.9,MYR,22.9
12/10/2022 18:33:11,Dompet,Transportation,,,4,Expense,,4,MYR,4
12/12/2022 12:48:08,Dompet,Food & Drink,Lunch,,14,Expense,,14,MYR,14
12/12/2022 18:14:02,Dompet,Food & Drink,Dinner,,6.5,Expense,,6.5,MYR,6.5
13/01/2023 13:10:54,Dompet,Food & Drink,Lunch,,9,Expense,,9,MYR,9
13/01/2023 17:48:20,Dompet,Food & Drink,Dinner,,15,Expense,,15,MYR,15
13/01/2023 17:55:03,Dompet,Food & Drink,Barang Dapur,,24,Expense,,24,MYR,24
13/02/2023 11:23:26,Dompet,Food & Drink,Dinner,,5.5,Expense,,5.5,MYR,5.5
13/03/2023 10:51:18,Public Bank,Transportation,GrabCar,,5,Expense,,5,MYR,5
13/03/2023 10:51:25,Dompet,Transportation,Bus,,1,Expense,,1,MYR,1
13/03/2023 10:51:51,Dompet,Transportation,Minyak,,10,Expense,,10,MYR,10
13/03/2023 10:56:38,Public Bank,Other,,,26,Expense,,26,MYR,26
13/03/2023 13:43:36,Public Bank,Food & Drink,Lunch,,24.5,Expense,,24.5,MYR,24.5
13/03/2023 14:15:01,Bank Islam,Dompet,,,50,Transfer-Out,,50,MYR,50
13/03/2023 14:25:28,Public Bank,Transportation,GrabCar,,6,Expense,,6,MYR,6
13/03/2023 14:39:53,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
13/03/2023 15:15:54,Dompet,Food & Drink,Barang Dapur,,4.6,Expense,,4.6,MYR,4.6
13/06/2023 13:15:20,Dompet,Food & Drink,Lunch,,2.5,Expense,,2.5,MYR,2.5
13/06/2023 13:15:20,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
13/07/2023 16:35:49,Dompet,Food & Drink,Lunch,,4,Expense,,4,MYR,4
13/07/2023 16:36:10,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
13/07/2023 16:47:15,Dompet,Food & Drink,Barang Dapur,,3,Expense,,3,MYR,3
13/08/2022 10:39:56,Public Bank,Credit Topup,Yoodo,Youtube,7,Expense,,7,MYR,7
